,G2700530005901,G2700530005902,G2700530006800,G2700530007700,G2700530007801,G2700530008100,G2700530008200,G2700530008300,G2700530008400,G2700530008500,G2700530009500,G2700530009600,G2700530010600,G2700530010700,G2700530011000,G2700530011703,G2700530021800,G2700530022000,G2700530022700,G2700530022801,G2700530022802,G2700530022901,G2700530022902,G2700530023000,G2700530023100,G2700530023600,G2700530103400,G2700530104100,G2700530104400,G2700530105100,G2700530105201,G2700530105204,G2700530105500,G2700530105600,G2700530105700,G2700530106000,G2700530106500,G2700530106600,G2700530106700,G2700530106900,G2700530107000,G2700530108000,G2700530108600,G2700530109100,G2700530109200,G2700530109300,G2700530109400,G2700530109700,G2700530109800,G2700530109900,G2700530110000,G2700530110800,G2700530110900,G2700530111200,G2700530111300,G2700530111400,G2700530111500,G2700530111600,G2700530125800,G2700530125900,G2700530126000,G2700530126102,G2700530126201,G2700530126202,G2700530126300
G2700530005901,0,42,1,6,1,1,3,1,2,5,7,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,1,9,0,1,10,2,1,12,31,0,0,3,6,0,0,1,0,0,2,2,1,0,0,0,0,8,0,0,0,0,0,10,7,12,28,10,0,2
G2700530005902,42,0,13,15,7,1,6,6,27,8,6,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,6,6,17,1,7,12,5,15,51,34,6,3,8,40,3,3,8,4,1,5,3,3,0,2,1,0,7,0,1,0,0,2,22,14,54,72,15,0,6
G2700530006800,1,13,0,23,7,10,11,1,2,2,0,0,1,0,0,0,0,1,3,3,3,0,0,2,0,0,1,3,15,10,7,9,11,28,19,4,7,8,78,26,29,2,0,6,2,1,0,0,1,3,0,4,1,0,3,3,1,0,5,5,9,9,12,1,0
G2700530007700,6,15,23,0,7,42,63,12,17,9,4,2,3,4,2,1,0,9,2,0,3,4,0,2,0,0,1,12,11,3,4,8,9,8,9,12,16,12,22,9,23,31,2,18,19,14,7,1,1,12,1,6,5,2,7,3,4,1,14,8,19,16,15,2,6
G2700530007801,1,7,7,7,0,3,14,9,2,4,2,1,0,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,3,3,0,10,5,0,5,6,8,13,0,0,1,0,11,1,0,2,5,1,0,5,1,1,1,2,0,3,3,9,2,0,0,5
G2700530008100,1,1,10,42,3,0,58,13,10,3,1,0,3,4,1,0,0,5,2,1,0,5,0,0,0,0,2,0,5,4,2,2,9,0,3,0,19,7,30,6,8,30,2,24,41,24,3,0,2,25,4,6,3,2,9,10,10,3,5,0,7,6,3,2,2
G2700530008200,3,6,11,63,14,58,0,23,14,7,3,2,1,4,2,0,0,2,0,0,2,0,1,2,0,1,1,2,3,1,0,0,3,1,2,0,3,0,17,11,17,5,2,1,17,69,7,3,0,9,0,4,3,1,3,6,9,2,6,10,16,9,2,0,0
G2700530008300,1,6,1,12,9,13,23,0,27,20,6,3,1,0,2,0,0,0,0,0,0,3,0,1,0,0,1,3,1,0,0,0,1,3,1,6,3,1,2,10,3,3,8,1,2,12,25,0,0,6,1,3,1,0,1,0,8,4,6,8,22,5,1,0,2
G2700530008400,2,27,2,17,2,10,14,27,0,53,37,5,3,0,9,3,0,3,0,0,0,1,0,0,0,1,0,1,5,0,2,3,2,3,5,7,2,0,4,5,4,3,27,2,2,12,19,2,0,7,15,5,20,0,1,0,0,8,24,27,41,2,0,3,1
G2700530008500,5,8,2,9,4,3,7,20,53,0,28,22,0,0,6,9,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,4,1,1,5,9,3,1,3,1,7,1,87,3,3,4,11,28,0,3,8,1,11,0,0,0,4,7,34,32,24,10,5,2,1
